constellation,abbr_IAU,abbr_NASA
Andromeda,and,andr
Antlia,ant,antl
Apus ,aps,apus
Aquarius ,aqr,aqar
Aquila ,aql,aqil
Ara,ara,arae
Aries,ari,arie
Auriga ,aur,auri
Boötes ,boo,boot
Caelum,cae,cael
Camelopardalis ,cam,caml
Cancer ,cnc,canc
Canes Venatici ,cvn,cven
Canis Major ,cma,cmaj
Canis Minor ,cmi,cmin
Capricornus ,cap,capr
Carina ,car,cari
Cassiopeia ,cas,cass
Centaurus ,cen,cent
Cepheus ,cep,ceph
Cetus,cet,ceti
Chamaeleon ,cha,cham
Circinus ,cir,circ
Columba,col,colm
Coma Berenices ,com,coma
Corona Australis,cra,cora
Corona Borealis ,crb,corb
Corvus ,crv,corv
Crater ,crt,crat
Crux ,cru,cruc
Cygnus ,cyg,cygn
Delphinus ,del,dlph
Dorado ,dor,dora
Draco ,dra,drac
Equuleus ,equ,equl
Eridanus,eri,erid
Fornax,for,forn
Gemini ,gem,gemi
Grus ,gru,grus
Hercules ,her,herc
Horologium,hor,horo
Hydra ,hya,hyda
Hydrus,hyi,hydi
Indus ,ind,indi
Lacerta,lac,lacr
Leo,leo,leon
Leo Minor,lmi,lmin
Lepus ,lep,leps
Libra ,lib,libr
Lupus ,lup,lupi
Lynx ,lyn,lync
Lyra ,lyr,lyra
Mensa,men,mens
Microscopium,mic,micr
Monoceros,mon,mono
Musca,mus,musc
Norma ,nor,norm
Octans,oct,octn
Ophiuchus ,oph,ophi
Orion ,ori,orio
Pavo ,pav,pavo
Pegasus,peg,pegs
Perseus ,per,pers
Phoenix,phe,phoe
Pictor ,pic,pict
Pisces,psc,pisc
Piscis Austrinus ,psa,psca
Puppis,pup,pupp
Pyxis ,pyx,pyxi
Reticulum ,ret,reti
Sagitta,sge,sgte
Sagittarius,sgr,sgtr
Scorpius,sco,scor
Sculptor,scl,scul
Scutum,sct,scut
Serpens,ser,serp
Sextans ,sex,sext
Taurus ,tau,taur
Telescopium ,tel,tele
Triangulum,tri,tria
Triangulum Australe,tra,trau
Tucana ,tuc,tucn
Ursa Major ,uma,umaj
Ursa Minor ,umi,umin
Vela ,vel,velr
Virgo ,vir,virg
Volans,vol,voln
Vulpecula,vul,vulp
